AT3G56900.1,Transducin/WD40 repeat-like superfamily protein
AT2G11000.1;AT2G11000.2,MAK10 homologue
AT2G31110.2,Plant protein of unknown function (DUF828)
AT4G12770.1;AT4G12770.2,Chaperone DnaJ-domain superfamily protein
AT1G20910.1,ARID/BRIGHT DNA-binding domain-containing protein
AT4G24750.1,Rhodanese/Cell cycle control phosphatase superfamily protein
AT2G28360.1,SIT4 phosphatase-associated family protein
AT5G56350.1,Pyruvate kinase family protein
AT3G49120.1,peroxidase CB
AT2G16710.1;AT2G16710.2;AT2G16710.3,Iron-sulphur cluster biosynthesis family protein
AT4G11330.1,MAP kinase 5
AT2G46100.1,Nuclear transport factor 2 (NTF2) family protein
AT3G51890.1,Clathrin light chain protein
AT5G14930.2,senescence-associated gene 101
AT5G20200.1,nucleoporin-related
AT1G08640.1,Chloroplast J-like domain 1
AT1G11530.1,C-terminal cysteine residue is changed to a serine 1
AT5G11680.1,"FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: cytosol, plasma membrane;EXPRESSED IN: 26 plant structures;EXPRESSED DURING: 15 growth stages;CONTAINS InterPro DOMAIN/s: WW-domain-binding protein (InterPro:IPR018826);Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0;Bacteria - 0;Metazoa - 736;Fungi - 347;Plants - 385;Viruses - 0;Other Eukaryotes - 339 (source: NCBI BLink)."
AT5G49360.1,beta-xylosidase 1
AT2G02560.1;AT2G02560.2,cullin-associated and neddylation dissociated
AT2G04350.1;AT2G04350.2,AMP-dependent synthetase and ligase family protein
AT2G24390.1;AT2G24390.3,AIG2-like (avirulence induced gene) family protein
AT2G33530.1,serine carboxypeptidase-like 46
AT2G27170.1;AT2G27170.2,Structural maintenance of chromosomes (SMC) family protein
AT3G16110.1,PDI-like 1-6
AT5G54080.1;AT5G54080.2,"homogentisate 1,2-dioxygenase;homogentisate 1,2-dioxygenase"
AT5G63620.1,GroES-like zinc-binding alcohol dehydrogenase family protein
AT1G54080.1;AT1G54080.2,oligouridylate-binding protein 1A
AT3G01520.1,Adenine nucleotide alpha hydrolases-like superfamily protein
AT2G27100.1,C2H2 zinc-finger protein SERRATE (SE)
AT4G09020.1,isoamylase 3
AT1G28680.1,HXXXD-type acyl-transferase family protein
AT1G53580.1,glyoxalase II  3
AT5G64430.1,Octicosapeptide/Phox/Bem1p family protein
AT2G46540.1,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: mitochondrion, membrane;EXPRESSED IN: 25 plant structures;EXPRESSED DURING: 16 growth stages;Has 42 Blast hits to 42 proteins in 11 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 42;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink)."
AT4G37460.1,Tetratricopeptide repeat (TPR)-like superfamily protein
AT2G27490.1;AT2G27490.2,dephospho-CoA kinase family
AT5G63510.1;AT5G63510.2,gamma carbonic anhydrase like 1
AT4G00860.1,Protein of unknown function (DUF1138)
AT1G23190.1,Phosphoglucomutase/phosphomannomutase family protein
AT3G07470.1,"Protein of unknown function, DUF538"
AT5G40870.1,uridine kinase/uracil phosphoribosyltransferase 1
AT1G04400.1;AT1G04400.2,cryptochrome 2
AT5G26110.1,Protein kinase superfamily protein
AT1G21750.1,PDI-like 1-1
AT1G01470.1,Late embryogenesis abundant protein
AT5G48375.1,thioglucoside glucosidase 3
AT2G18080.1,Serine carboxypeptidase S28 family protein
AT1G55450.1;AT1G55450.2,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT2G43640.1;AT2G43640.2;AT2G43640.3,"Signal recognition particle, SRP9/SRP14 subunit;Signal recognition particle, SRP9/SRP14 subunit;Signal recognition particle, SRP9/SRP14 subunit"
AT2G39780.1;AT2G39780.2,ribonuclease 2
AT5G61580.1;AT5G61580.2,phosphofructokinase 4
AT1G11910.1,aspartic proteinase A1
AT5G64940.1;AT5G64940.2,ABC2 homolog 13
AT5G23210.1,serine carboxypeptidase-like 34
AT3G55410.1,"2-oxoglutarate dehydrogenase, E1 component"
AT5G39730.1,AIG2-like (avirulence induced gene) family protein
AT2G17120.1,lysm domain GPI-anchored protein 2 precursor
AT5G55610.1;AT5G55610.2,"unknown protein;LOCATED IN: mitochondrion, chloroplast, plastid, membrane;EXPRESSED IN: 25 plant structures;EXPRESSED DURING: 13 growth stages;Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0;Bacteria - 0;Metazoa - 736;Fungi - 347;Plants - 385;Viruses - 0;Other Eukaryotes - 339 (source: NCBI BLink).;unknown protein;LOCATED IN: mitochondrion, plastid, membrane;EXPRESSED IN: 25 plant structures;EXPRESSED DURING: 13 growth stages;Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798;Bacteria - 22429;Metazoa - 974;Fungi - 991;Plants - 531;Viruses - 0;Other Eukaryotes - 9610 (source: NCBI BLink)."
AT1G20810.1,FKBP-like peptidyl-prolyl cis-trans isomerase family protein
AT2G15570.1;AT2G15570.2,Thioredoxin superfamily protein
AT5G45950.1,GDSL-like Lipase/Acylhydrolase superfamily protein
AT1G06680.1,photosystem II subunit P-1
AT3G15360.1,thioredoxin M-type 4
AT5G45490.1;AT5G45490.2,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G23760.1,"FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: vacuole;EXPRESSED IN: 20 plant structures;EXPRESSED DURING: 13 growth stages;BEST Arabidopsis thaliana protein match is: transferases, transferring glycosyl groups (TAIR:AT4G14100.1);Has 108 Blast hits to 104 proteins in 19 species: Archae - 0;Bacteria - 0;Metazoa - 8;Fungi - 0;Plants - 90;Viruses - 0;Other Eukaryotes - 10 (source: NCBI BLink)."
AT1G06430.1,FTSH protease 8
AT4G29130.1,hexokinase 1
AT3G13870.1,Root hair defective 3 GTP-binding protein (RHD3)
AT1G71440.1,tubulin folding cofactor E / Pfifferling (PFI)
AT1G79340.1,metacaspase 4
AT5G58870.1,FTSH protease 9
AT5G09590.1,mitochondrial HSO70 2
AT1G02816.1,"Protein of unknown function, DUF538"
AT1G01280.1,"cytochrome P450, family 703, subfamily A, polypeptide 2"
AT1G08370.1,decapping 1
AT1G48610.1;AT1G48610.2,AT hook motif-containing protein
AT1G20720.1;AT1G20750.1,RAD3-like DNA-binding helicase protein
AT5G59440.1;AT5G59440.2;AT5G59440.3,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G04780.1,Ankyrin repeat family protein
AT5G38890.1,"Nucleic acid-binding, OB-fold-like protein"
AT3G07195.1,RPM1-interacting protein 4 (RIN4) family protein
AT5G51545.1,low psii accumulation2
AT5G13320.1,Auxin-responsive GH3 family protein
AT1G50360.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G55280.1,homolog of bacterial cytokinesis Z-ring protein FTSZ 1-1
AT5G65860.1;AT5G65860.2,ankyrin repeat family protein
AT3G57810.1;AT3G57810.2;AT3G57810.3,Cysteine proteinases superfamily protein
AT3G20000.1,translocase of the outer mitochondrial membrane 40
AT3G50370.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: cellular_component unknown;EXPRESSED IN: 26 plant structures;EXPRESSED DURING: 15 growth stages;Has 27734 Blast hits to 16708 proteins in 1259 species: Archae - 81;Bacteria - 3434;Metazoa - 10876;Fungi - 2514;Plants - 987;Viruses - 212;Other Eukaryotes - 9630 (source: NCBI BLink).
AT5G46110.1;AT5G46110.3;AT5G46110.4,Glucose-6-phosphate/phosphate translocator-related
AT3G02350.1,galacturonosyltransferase 9
AT2G43950.1;AT2G43950.2;AT2G43950.3,chloroplast outer envelope protein 37
AT4G08320.1;AT4G08320.2,Tetratricopeptide repeat (TPR)-like superfamily protein
AT5G03290.1,isocitrate dehydrogenase V
AT2G33040.1,gamma subunit of Mt ATP synthase
AT5G26000.1;AT5G26000.2,thioglucoside glucohydrolase 1
AT5G07020.1,proline-rich family protein
AT5G04870.1,calcium dependent protein kinase 1
AT3G60340.1;AT3G60340.2,alpha/beta-Hydrolases superfamily protein
AT3G43670.1,Copper amine oxidase family protein
AT4G27570.1,UDP-Glycosyltransferase superfamily protein
AT3G27570.1,Sucrase/ferredoxin-like family protein
AT4G02500.1,UDP-xylosyltransferase 2
AT2G23120.1,"Late embryogenesis abundant protein, group 6"
AT1G04710.1,peroxisomal 3-ketoacyl-CoA thiolase  4
AT5G54110.1,membrane-associated mannitol-induced
AT4G39690.1,FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: mitochondrion;EXPRESSED IN: 26 plant structures;EXPRESSED DURING: 14 growth stages;CONTAINS InterPro DOMAIN/s: Mitochondrial inner membrane protein Mitofilin (InterPro:IPR019133);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT4G31570.1,CONTAINS InterPro DOMAIN/s: Prefoldin (InterPro:IPR009053);BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G24460.1);Has 194354 Blast hits to 66887 proteins in 3244 species: Archae - 3688;Bacteria - 38556;Metazoa - 84828;Fungi - 17265;Plants - 10589;Viruses - 805;Other Eukaryotes - 38623 (source: NCBI BLink).
AT5G20500.1,Glutaredoxin family protein
AT3G52050.1;AT3G52050.2;AT3G52050.3;AT3G52050.4,5'-3' exonuclease family protein
AT2G44490.1,Glycosyl hydrolase superfamily protein
AT1G80750.1,Ribosomal protein L30/L7 family protein
AT1G02100.1;AT1G02100.2;AT1G02100.3,Leucine carboxyl methyltransferase
AT5G52240.1,membrane steroid binding protein 1
AT1G31440.1,SH3 domain-containing protein
AT5G57350.1;AT5G57350.2,H(+)-ATPase 3
AT1G30480.1,D111/G-patch domain-containing protein
AT3G09050.1,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast thylakoid membrane, chloroplast;EXPRESSED IN: 21 plant structures;EXPRESSED DURING: 13 growth stages;Has 120 Blast hits to 120 proteins in 47 species: Archae - 4;Bacteria - 10;Metazoa - 33;Fungi - 2;Plants - 44;Viruses - 0;Other Eukaryotes - 27 (source: NCBI BLink)."
AT2G31750.1,UDP-glucosyl transferase 74D1
AT3G15160.1,unknown protein;Has 266 Blast hits to 264 proteins in 44 species: Archae - 0;Bacteria - 0;Metazoa - 58;Fungi - 0;Plants - 199;Viruses - 0;Other Eukaryotes - 9 (source: NCBI BLink).
AT4G29490.1,Metallopeptidase M24 family protein
AT5G05860.1,UDP-glucosyl transferase 76C2
AT1G09200.1;AT1G13370.1;AT3G27360.1;AT5G10390.1;AT5G10400.1;AT5G65350.1;AT5G65360.1,Histone superfamily protein;Histone superfamily protein;Histone superfamily protein;Histone superfamily protein;Histone superfamily protein;histone 3 11;Histone superfamily protein
AT5G22120.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: cellular_component unknown;EXPRESSED IN: cultured cell;Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT3G56650.1,Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein
AT4G04880.1,adenosine/AMP deaminase family protein
,
AT1G58807.1;AT1G58807.2;AT1G59124.1,Disease resistance protein (CC-NBS-LRR class) family
AT1G54630.1,acyl carrier protein 3
AT5G16550.1,unknown protein;Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT2G41620.1,Nucleoporin interacting component (Nup93/Nic96-like) family protein
AT4G26780.1,Co-chaperone GrpE family protein
AT5G01590.1,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast, chloroplast envelope;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;Has 60 Blast hits to 59 proteins in 31 species: Archae - 0;Bacteria - 20;Metazoa - 1;Fungi - 2;Plants - 33;Viruses - 0;Other Eukaryotes - 4 (source: NCBI BLink)."
AT5G05600.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT2G40600.1,appr-1-p processing enzyme family protein
AT4G17830.1,Peptidase M20/M25/M40 family protein
AT1G14030.1,Rubisco methyltransferase family protein
AT3G56240.1,copper chaperone
AT5G43970.1,translocase of outer membrane 22-V
AT5G48570.1,FKBP-type peptidyl-prolyl cis-trans isomerase family protein
AT1G05150.1,Calcium-binding tetratricopeptide family protein
AT5G62840.1,Phosphoglycerate mutase family protein
AT5G57345.1,unknown protein;Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT5G56730.1,Insulinase (Peptidase family M16) protein
AT2G29340.1;AT2G29340.2,NAD-dependent epimerase/dehydratase family protein
AT3G12345.1,unknown protein;LOCATED IN: chloroplast;Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798;Bacteria - 22429;Metazoa - 974;Fungi - 991;Plants - 531;Viruses - 0;Other Eukaryotes - 9610 (source: NCBI BLink).
AT2G24820.1,translocon at the inner envelope membrane of chloroplasts 55-II
AT3G12780.1,phosphoglycerate kinase 1
AT2G03550.1,alpha/beta-Hydrolases superfamily protein
AT4G10590.1;AT4G10590.2,ubiquitin-specific protease 10
AT4G24490.1;AT4G24490.2,RAB geranylgeranyl transferase alpha subunit 1
AT2G26280.1,CTC-interacting domain 7
AT3G09790.1,ubiquitin 8
AT4G16380.1;AT4G16380.2,Heavy metal transport/detoxification superfamily protein
AT1G65960.2,glutamate decarboxylase 2
AT1G24764.1,microtubule-associated proteins 70-2
AT1G22870.1,Protein kinase family protein with ARM repeat domain
AT4G10100.1;AT4G10100.2;AT4G10100.3,"co-factor for nitrate, reductase and xanthine dehydrogenase 7;co-factor for nitrate, reductase and xanthine dehydrogenase 7;co-factor for nitrate, reductase and xanthine dehydrogenase 7"
AT3G13070.1,CBS domain-containing protein / transporter associated domain-containing protein
AT1G22450.1,cytochrome C oxidase 6B
AT1G71820.1,SEC6
AT5G59670.1,Leucine-rich repeat protein kinase family protein
AT1G66730.1,DNA LIGASE 6
AT5G51980.1,Transducin/WD40 repeat-like superfamily protein
AT3G06850.1;AT3G06850.2,2-oxoacid dehydrogenases acyltransferase family protein
AT3G08850.1,"HEAT repeat;WD domain, G-beta repeat protein protein"
AT2G23670.1,homolog of Synechocystis YCF37
AT1G77510.1,PDI-like 1-2
AT3G18060.1,transducin family protein / WD-40 repeat family protein
AT4G28706.2;AT4G28706.4,pfkB-like carbohydrate kinase family protein
AT5G14740.4,carbonic anhydrase 2
AT1G24807.1;AT1G24909.1;AT1G25083.1;AT1G25155.1;AT1G25220.1;AT1G25220.2,Glutamine amidotransferase type 1 family protein;Glutamine amidotransferase type 1 family protein;Glutamine amidotransferase type 1 family protein;Glutamine amidotransferase type 1 family protein;anthranilate synthase beta subunit 1;anthranilate synthase beta subunit 1
AT3G23570.1,alpha/beta-Hydrolases superfamily protein
AT4G38100.1,unknown protein;LOCATED IN: chloroplast thylakoid membrane;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 13 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G01150.1);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT1G51760.1,peptidase M20/M25/M40 family protein
AT1G51650.1,"ATP synthase epsilon chain, mitochondrial"
AT1G07310.1,Calcium-dependent lipid-binding (CaLB domain) family protein
AT4G15530.1;AT4G15530.4;AT4G15530.5;AT4G15530.6,pyruvate orthophosphate dikinase
AT5G62630.1,hipl2 protein precursor
AT4G33120.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT4G17170.1,RAB GTPase homolog B1C
AT4G00030.1,Plastid-lipid associated protein PAP / fibrillin family protein
AT1G56560.1,Plant neutral invertase family protein
AT3G52300.1,"ATP synthase D chain, mitochondrial"
AT3G04880.1,DNA-damage-repair/toleration protein (DRT102)
AT3G44326.1,F-box family protein
AT3G02090.1,Insulinase (Peptidase family M16) protein
AT4G15450.1,Senescence/dehydration-associated protein-related
AT5G16710.1,dehydroascorbate reductase 1
AT2G45140.1,plant VAP homolog 12
AT5G20090.1;AT5G20090.2,Uncharacterised protein family (UPF0041)
AT2G39930.1,isoamylase 1
AT1G61570.1,translocase of the inner mitochondrial membrane 13
AT2G22950.1,Cation transporter/ E1-E2 ATPase family protein
AT1G20110.1,RING/FYVE/PHD zinc finger superfamily protein
AT3G51140.1,Protein of unknown function (DUF3353)
AT3G06300.1,P4H isoform 2
AT2G42580.1,tetratricopetide-repeat thioredoxin-like 3
AT4G00165.1;AT4G00165.2,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT2G46900.1,"CONTAINS InterPro DOMAIN/s: Basic helix-loop-helix, Nulp1-type (InterPro:IPR006994);Has 2929 Blast hits to 2464 proteins in 333 species: Archae - 2;Bacteria - 151;Metazoa - 913;Fungi - 372;Plants - 141;Viruses - 47;Other Eukaryotes - 1303 (source: NCBI BLink)."
AT5G16840.1;AT5G16840.3,binding partner of acd11 1
AT1G07700.1;AT1G07700.3,Thioredoxin superfamily protein
AT3G48350.1,Cysteine proteinases superfamily protein
AT3G10060.1,FKBP-like peptidyl-prolyl cis-trans isomerase family protein
AT1G24020.1;AT1G24020.2,MLP-like protein 423
AT2G17130.1;AT2G17130.2,isocitrate dehydrogenase subunit 2
AT3G20020.1;AT3G20020.2,protein arginine methyltransferase 6
AT2G33210.1;AT2G33210.2,heat shock protein 60-2
AT5G17770.1,NADH:cytochrome B5 reductase 1
AT2G30060.1,Pleckstrin homology (PH) domain superfamily protein
AT3G25140.1,Nucleotide-diphospho-sugar transferases superfamily protein
AT1G56200.1;AT1G56200.2,embryo defective 1303
AT5G47030.1,"ATPase, F1 complex, delta/epsilon subunit"
AT5G50250.1,chloroplast RNA-binding protein 31B
AT1G22300.1;AT1G22300.2,general regulatory factor 10
AT4G17260.1,Lactate/malate dehydrogenase family protein
AT1G31340.1;AT2G35635.1,related to ubiquitin 1;ubiquitin 7
AT1G61900.1;AT1G61900.2;AT1G61900.3,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: anchored to plasma membrane, plasma membrane, anchored to membrane;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 13 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G30700.1);Has 65 Blast hits to 65 proteins in 12 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 65;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).;unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: anchored to plasma membrane, plasma membrane, anchored to membrane;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 13 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G30700.1);Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798;Bacteria - 22429;Metazoa - 974;Fungi - 991;Plants - 531;Viruses - 0;Other Eukaryotes - 9610 (source: NCBI BLink).;unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G30700.1)."
AT1G75010.1,GTP binding
AT3G63080.1,glutathione peroxidase 5
AT5G38410.1,Ribulose bisphosphate carboxylase (small chain) family protein
AT3G45640.1,mitogen-activated protein kinase 3
AT2G47840.1,Uncharacterised conserved protein ycf60
AT1G47480.1,alpha/beta-Hydrolases superfamily protein
AT5G13570.1,decapping 2
AT5G47840.1,adenosine monophosphate kinase
AT5G53650.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: endomembrane system;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 15 growth stages;Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT1G21380.1,Target of Myb protein 1
AT3G28480.1,Oxoglutarate/iron-dependent oxygenase
AT1G60710.1,NAD(P)-linked oxidoreductase superfamily protein
AT2G36290.1,alpha/beta-Hydrolases superfamily protein
AT1G70290.1,trehalose-6-phosphatase synthase S8
AT2G17972.1,"unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast thylakoid membrane, chloroplast;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 14 growth stages;Has 34 Blast hits to 34 proteins in 17 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 34;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink)."
AT2G01190.1,Octicosapeptide/Phox/Bem1p family protein
AT2G30900.1,TRICHOME BIREFRINGENCE-LIKE 43
AT5G59540.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G05350.1,NAD(P)-binding Rossmann-fold superfamily protein
AT3G63000.1,NPL4-like protein 1
AT5G52210.1;AT5G52210.2,GTP-binding protein 1
AT1G44170.1;AT1G44170.2,aldehyde dehydrogenase 3H1
AT5G04600.1,RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G13700.1,6-phosphogluconolactonase 1
AT4G36190.1,Serine carboxypeptidase S28 family protein
AT3G24100.1,Uncharacterised protein family SERF
AT1G47260.1,gamma carbonic anhydrase 2
AT4G23170.1,receptor-like protein kinase-related family protein
AT2G44050.1,"6,7-dimethyl-8-ribityllumazine synthase / DMRL synthase / lumazine synthase / riboflavin synthase"
AT5G36210.1,alpha/beta-Hydrolases superfamily protein
AT1G65930.1,cytosolic NADP+-dependent isocitrate dehydrogenase
AT5G16120.1,alpha/beta-Hydrolases superfamily protein
AT5G23250.1,"Succinyl-CoA ligase, alpha subunit"
AT5G54660.1,HSP20-like chaperones superfamily protein
AT3G02880.1,Leucine-rich repeat protein kinase family protein
AT2G23200.1,Protein kinase superfamily protein
AT1G59710.1,Protein of unknown function (DUF569)
AT5G28000.1,Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT4G32760.1;AT4G32760.2,ENTH/VHS/GAT family protein
AT2G01820.1,Leucine-rich repeat protein kinase family protein
AT2G38610.1;AT2G38610.2,RNA-binding KH domain-containing protein
AT2G15050.1;AT2G15050.3,lipid transfer protein
AT5G35080.1,"INVOLVED IN: biological_process unknown;LOCATED IN: endomembrane system;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Mannose-6-phosphate receptor, binding (InterPro:IPR009011), Glucosidase II beta subunit-like (InterPro:IPR012913);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink)."
AT1G30300.1,Metallo-hydrolase/oxidoreductase superfamily protein
AT3G13860.1,heat shock protein 60-3A
AT1G70610.1,transporter associated with antigen processing protein 1
AT3G07720.1,Galactose oxidase/kelch repeat superfamily protein
AT3G04910.1;AT3G04910.2;AT3G04910.3;AT3G22420.1;AT3G22420.2;AT3G51630.1;AT3G51630.2,with no lysine (K) kinase 1;with no lysine (K) kinase 1;with no lysine (K) kinase 1;with no lysine (K) kinase 2;with no lysine (K) kinase 2;with no lysine (K) kinase 5;with no lysine (K) kinase 5
AT1G66970.1,SHV3-like 2
AT2G36360.1;AT2G36360.2;AT2G36360.3;AT2G36360.4;AT2G36360.5,Galactose oxidase/kelch repeat superfamily protein
AT1G65220.1,ARM repeat superfamily protein
AT3G49100.1,"Signal recognition particle, SRP9/SRP14 subunit"
AT1G51805.1,Leucine-rich repeat protein kinase family protein
AT3G26070.1,Plastid-lipid associated protein PAP / fibrillin family protein
AT1G15370.1,SNARE-like superfamily protein
AT1G10500.1,chloroplast-localized ISCA-like protein
AT5G20980.1;AT5G20980.2,methionine synthase 3
AT1G27385.1;AT1G27385.2;AT1G27385.3;AT1G27385.4,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF493 (InterPro:IPR007454);Has 76 Blast hits to 76 proteins in 23 species: Archae - 0;Bacteria - 6;Metazoa - 0;Fungi - 0;Plants - 69;Viruses - 0;Other Eukaryotes - 1 (source: NCBI BLink).;unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF493 (InterPro:IPR007454);Has 76 Blast hits to 76 proteins in 23 species: Archae - 0;Bacteria - 6;Metazoa - 0;Fungi - 0;Plants - 69;Viruses - 0;Other Eukaryotes - 1 (source: NCBI BLink).;unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF493 (InterPro:IPR007454);Has 77 Blast hits to 77 proteins in 22 species: Archae - 0;Bacteria - 4;Metazoa - 0;Fungi - 0;Plants - 72;Viruses - 0;Other Eukaryotes - 1 (source: NCBI BLink).;unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF493 (InterPro:IPR007454);Has 79 Blast hits to 79 proteins in 23 species: Archae - 0;Bacteria - 6;Metazoa - 0;Fungi - 0;Plants - 72;Viruses - 0;Other Eukaryotes - 1 (source: NCBI BLink).
AT4G31140.1,O-Glycosyl hydrolases family 17 protein
AT3G09600.1;AT3G09600.2,Homeodomain-like superfamily protein
AT1G31910.1,GHMP kinase family protein
AT3G05710.1,syntaxin of plants 43
AT3G22320.1,Eukaryotic rpb5 RNA polymerase subunit family protein
AT1G20225.1,Thioredoxin superfamily protein
AT4G25650.1;AT4G25650.2,ACD1-like
AT5G38900.1,Thioredoxin superfamily protein
AT5G20990.1,molybdopterin biosynthesis CNX1 protein / molybdenum cofactor biosynthesis enzyme CNX1 (CNX1)
AT2G28605.1,Photosystem II reaction center PsbP family protein
AT3G23980.1,BLISTER
AT1G05270.1,TraB family protein
AT2G34690.1,Glycolipid transfer protein (GLTP) family protein
AT1G71170.1,6-phosphogluconate dehydrogenase family protein
AT4G11600.1,glutathione peroxidase 6
